,Title,Genre,Rating,Voting,Duration
0,1. Kraven the Hunter,Action,5.5, (52K),2h 7m
1,2. Gladiator II,Action,6.5, (225K),2h 28m
2,3. Twisters,Action,6.5, (165K),2h 2m
3,4. Sonic the Hedgehog 3,Action,6.9, (57K),1h 50m
4,5. Venom: The Last Dance,Action,6.0, (114K),1h 50m
5,6. Deadpool & Wolverine,Action,7.6, (487K),2h 8m
6,7. Pushpa: The Rule - Part 2,Action,6.1, (55K),3h 21m
7,8. Dune: Part Two,Action,8.5, (621K),2h 46m
8,9. The Ministry of Ungentlemanly Warfare,Action,6.8, (134K),2h 2m
9,10. Freaky Tales,Action,7.2, (899),1h 46m
10,11. The Beekeeper,Action,6.3, (155K),1h 45m
11,12. Carry-On,Action,6.5, (163K),1h 59m
12,13. Furiosa: A Mad Max Saga,Action,7.5, (283K),2h 28m
13,14. Civil War,Action,7.0, (235K),1h 49m
14,15. Fight or Flight,Action,6.4, (6K),1h 37m
15,16. Solo Leveling: ReAwakening,Action,8.9, (11K),2h 1m
16,17. Borderlands,Action,4.7, (47K),1h 41m
17,18. Elevation,Action,5.6, (21K),1h 31m
18,19. The Fall Guy,Action,6.8, (219K),2h 6m
19,20. The Count of Monte-Cristo,Action,7.6, (33K),2h 58m
20,21. Transformers One,Action,7.6, (49K),1h 44m
21,22. Hellboy: The Crooked Man,Action,4.5, (13K),1h 39m
22,23. The Lord of the Rings: The War of the Rohirrim,Action,6.3, (30K),2h 14m
23,24. The Crow,Action,4.7, (34K),1h 51m
24,25. William Tell,Action,5.7, (2.3K),2h 13m
25,26. Madame Web,Action,4.0, (100K),1h 56m
26,27. Rebel Ridge,Action,6.8, (87K),2h 11m
27,28. Road House,Action,6.2, (167K),2h 1m
28,29. Bad Boys: Ride or Die,Action,6.5, (99K),1h 55m
29,30. Kingdom of the Planet of the Apes,Action,6.9, (151K),2h 25m
30,31. Godzilla x Kong: The New Empire,Action,6.0, (121K),1h 55m
31,32. Argylle,Action,5.6, (92K),2h 19m
32,33. Marco,Action,6.8, (21K),2h 25m
33,34. Damsel,Action,6.1, (109K),1h 50m
34,35. Red One,Action,6.3, (139K),2h 3m
35,36. Homestead,Action,5.3, (3.5K),1h 52m
36,37. Love Lies Bleeding,Action,6.6, (56K),1h 44m
37,38. The Killer's Game,Action,5.8, (17K),1h 44m
38,39. Land of Bad,Action,6.6, (51K),1h 53m
39,40. Monkey Man,Action,6.8, (91K),2h 1m
40,41. Uglies,Action,4.7, (32K),1h 40m
41,42. Old Guy,Action,5.2, (2.2K),1h 34m
42,43. Dirty Angels,Action,4.3, (3.3K),1h 44m
43,44. Blitz,Action,6.2, (16K),2h
44,45. The Union,Action,5.4, (53K),1h 47m
45,46. Kung Fu Panda 4,Action,6.3, (67K),1h 34m
46,47. Toofan,Action,7.4, (7.6K),2h 25m
47,48. Thelma,Action,7.0, (22K),1h 38m
48,49. Arcadian,Action,5.5, (23K),1h 32m
49,50. Attack on Titan the Movie: The Last Attack,Action,9.2, (15K),2h 25m
50,51. Gunner,Action,3.2, (2.5K),1h 46m
51,52. Lift,Action,5.5, (49K),1h 47m
52,53. Werewolves,Action,4.4, (6.4K),1h 33m
53,54. The Killer,Action,5.7, (13K),2h 6m
54,55. Aftermath,Action,5.1, (3.8K),1h 37m
55,56. Beverly Hills Cop: Axel F,Action,6.4, (81K),1h 58m
56,57. Maharaja,Action,8.4, (66K),2h 21m
57,58. Survive,Action,4.6, (2.3K),1h 30m
58,59. The Instigators,Action,6.2, (37K),1h 41m
59,60. Twilight of the Warriors: Walled In,Action,7.0, (9.3K),2h 6m
60,61. Drive-Away Dolls,Action,5.4, (23K),1h 24m
61,62. Absolution,Action,5.2, (7.7K),1h 52m
62,63. Apocalypse Z: The Beginning of the End,Action,6.1, (20K),1h 57m
63,64. Azrael,Action,5.4, (10K),1h 26m
64,65. Classified,Action,3.6, (2.4K),1h 45m
65,66. Atlas,Action,5.6, (56K),1h 58m
66,67. The Prosecutor,Action,6.7, (1.7K),1h 57m
67,68. Rebel Moon - Part Two: The Scargiver,Action,5.3, (59K),2h 2m
68,69. Descendants: The Rise of Red,Action,4.7, (7K),1h 31m
69,70. Kalki 2898-AD,Action,7.0, (66K),3h
70,71. Long Gone Heroes,Action,5.2, (1K),1h 41m
71,72. Brothers,Action,5.4, (13K),1h 29m
72,73. Canary Black,Action,5.3, (11K),1h 41m
73,74. Under Paris,Action,5.2, (36K),1h 44m
74,75. Trigger Warning,Action,4.6, (19K),1h 46m
75,76. Armor,Action,3.6, (3.8K),1h 29m
76,77. Watchmen: Chapter I,Action,7.0, (6.4K),1h 23m
77,78. One More Shot,Action,5.4, (3.6K),1h 43m
78,79. Amaran,Action,8.2, (18K),2h 47m
79,80. The Shadow Strays,Action,6.5, (9.1K),2h 24m
80,81. Jackpot!,Action,5.8, (30K),1h 46m
81,82. Cash Out,Action,4.8, (2.9K),1h 32m
82,83. Weekend in Taipei,Action,5.7, (4.6K),1h 40m
83,84. The Silent Hour,Action,6.1, (7.3K),1h 39m
84,85. Duchess,Action,4.6, (1.3K),1h 54m
85,86. Watchmen: Chapter II,Action,7.0, (2.9K),1h 30m
86,87. Red Right Hand,Action,5.5, (5.8K),1h 51m
87,88. Chief of Station,Action,4.7, (4.6K),1h 37m
88,89. Fighter,Action,6.2, (52K),2h 46m
89,90. Boneyard,Action,4.1, (5K),1h 36m
90,91. Rogue Elements: A Ryan Drake Story,Action,4.8, (953),44m
91,92. Hitpig,Action,5.1, (909),1h 26m
92,93. Aavesham,Action,7.8, (28K),2h 35m
93,94. Karma,Action,8.0, (1.4K),2h 47m
94,95. Harbin,Action,6.4, (568),1h 48m
95,96. Baby Invasion,Action,4.6, (396),1h 20m
96,97. Uprising,Action,6.6, (5.5K),2h 6m
97,98. No Way Up,Action,4.6, (10K),1h 30m
98,99. Baby John,Action,5.3, (17K),2h 39m
99,100. Megamind vs. The Doom Syndicate,Action,2.5, (5.5K),1h 23m
100,101. Sikandar ka Muqaddar,Action,6.0, (24K),2h 22m
101,102. The Fix,Action,4.6, (1.2K),1h 38m
102,103. River of Blood,Action,5.3, (1.7K),1h 26m
103,104. Black Heat,Action,8.6, (117),1h 33m
104,105. Viduthalai Part 2,Action,7.9, (16K),2h 50m
105,106. The Wages of Fear,Action,4.6, (4.1K),1h 44m
106,107. Damaged,Action,4.7, (7.2K),1h 37m
107,108. Devil's Knight,Action,5.4, (820),1h 30m
108,109. Dominique,Action,5.3, (2.2K),1h 40m
109,110. The Quiet Ones,Action,6.4, (658),1h 50m
110,111. Take Cover,Action,5.1, (2.4K),1h 30m
111,112. Overlord: The Sacred Kingdom,Action,6.9, (893),2h 15m
112,113. Operation Undead,Action,4.6, (393),1h 50m
113,114. Devara Part 1,Action,6.0, (20K),2h 56m
114,115. Role Play,Action,5.5, (19K),1h 40m
115,116. Justice League: Crisis on Infinite Earths - Part One,Action,6.2, (8.4K),1h 33m
