,Title,Genre,Rating,Voting,Duration
0,1. Anora,Comedy,7.5, (175K),2h 19m
1,2. Moana 2,Comedy,6.6, (98K),1h 40m
2,3. A Real Pain,Comedy,7.1, (85K),1h 30m
3,4. Sonic the Hedgehog 3,Comedy,6.9, (57K),1h 50m
4,5. Y2K,Comedy,4.8, (12K),1h 31m
5,6. Deadpool & Wolverine,Comedy,7.6, (487K),2h 8m
6,7. The Ministry of Ungentlemanly Warfare,Comedy,6.8, (134K),2h 2m
7,8. Freaky Tales,Comedy,7.2, (813),1h 46m
8,9. The Day the Earth Blew Up: A Looney Tunes Movie,Comedy,7.0, (3.7K),1h 31m
9,10. Riff Raff,Comedy,5.7, (2.7K),1h 43m
10,11. Fight or Flight,Comedy,6.4, (5.9K),1h 37m
11,12. Emilia Pérez,Comedy,5.4, (87K),2h 12m
12,13. Borderlands,Comedy,4.7, (47K),1h 41m
13,14. Paddington in Peru,Comedy,6.7, (19K),1h 46m
14,15. Sacramento,Comedy,5.7, (539),1h 29m
15,16. The Fall Guy,Comedy,6.8, (219K),2h 6m
16,17. Saturday Night,Comedy,6.9, (30K),1h 49m
17,18. Beetlejuice Beetlejuice,Comedy,6.7, (146K),1h 45m
18,19. Despicable Me 4,Comedy,6.2, (64K),1h 34m
19,20. Challengers,Comedy,7.0, (153K),2h 11m
20,21. Inside Out 2,Comedy,7.5, (215K),1h 36m
21,22. Kinds of Kindness,Comedy,6.5, (59K),2h 44m
22,23. A Different Man,Comedy,6.9, (28K),1h 52m
23,24. Bad Boys: Ride or Die,Comedy,6.5, (99K),1h 55m
24,25. The Idea of You,Comedy,6.3, (73K),1h 55m
25,26. My Old Ass,Comedy,6.9, (38K),1h 29m
26,27. Argylle,Comedy,5.6, (92K),2h 19m
27,28. It's What's Inside,Comedy,6.6, (42K),1h 43m
28,29. Dead Talents Society,Comedy,7.0, (1.7K),1h 51m
29,30. IF,Comedy,6.4, (58K),1h 44m
30,31. A Nice Indian Boy,Comedy,7.9, (325),1h 36m
31,32. Ricky Stanicky,Comedy,6.2, (56K),1h 53m
32,33. Ghostbusters: Frozen Empire,Comedy,6.1, (93K),1h 55m
33,34. Red One,Comedy,6.3, (139K),2h 3m
34,35. Fly Me to the Moon,Comedy,6.6, (49K),2h 12m
35,36. Friendship,Comedy,7.4, (257),1h 40m
36,37. Nightbitch,Comedy,5.5, (19K),1h 39m
37,38. Bob Trevino Likes It,Comedy,8.0, (699),1h 41m
38,39. The Killer's Game,Comedy,5.8, (17K),1h 44m
39,40. Snack Shack,Comedy,7.0, (12K),1h 52m
40,41. My Dead Friend Zoe,Comedy,6.6, (2K),1h 43m
41,42. Old Guy,Comedy,5.2, (2.2K),1h 34m
42,43. Kneecap,Comedy,7.6, (17K),1h 45m
43,44. F*** Marry Kill,Comedy,5.3, (2.3K),1h 37m
44,45. Miller's Girl,Comedy,5.2, (23K),1h 33m
45,46. The Union,Comedy,5.4, (53K),1h 47m
46,47. Kung Fu Panda 4,Comedy,6.3, (67K),1h 34m
47,48. Chosen Family,Comedy,4.7, (360),1h 28m
48,49. Mean Girls,Comedy,5.5, (37K),1h 52m
49,50. Thelma,Comedy,7.0, (22K),1h 38m
50,51. A Family Affair,Comedy,5.4, (36K),1h 51m
51,52. Misericordia,Comedy,6.9, (1.9K),1h 44m
52,53. Spermageddon,Comedy,5.8, (755),1h 20m
53,54. Lift,Comedy,5.5, (49K),1h 47m
54,55. Upgraded,Comedy,6.1, (29K),1h 44m
55,56. Holy Cow,Comedy,7.2, (1.4K),1h 32m
56,57. Beverly Hills Cop: Axel F,Comedy,6.4, (81K),1h 58m
57,58. The Instigators,Comedy,6.2, (37K),1h 41m
58,59. Distant,Comedy,5.7, (3.1K),1h 27m
59,60. The Garfield Movie,Comedy,5.7, (24K),1h 41m
60,61. The Marching Band,Comedy,7.4, (2.6K),1h 43m
61,62. Mittran Da Challeya Truck Ni,Comedy,8.1, (866),2h 11m
62,63. Spellbound,Comedy,5.6, (7.2K),1h 49m
63,64. Incoming,Comedy,5.8, (14K),1h 31m
64,65. Drive-Away Dolls,Comedy,5.4, (23K),1h 24m
65,66. Harold and the Purple Crayon,Comedy,5.7, (8.2K),1h 30m
66,67. Eephus,Comedy,7.2, (461),1h 39m
67,68. Greedy People,Comedy,6.2, (11K),1h 52m
68,69. Get Away,Comedy,5.3, (6.6K),1h 26m
69,70. Wallace & Gromit: Vengeance Most Fowl,Comedy,7.5, (34K),1h 22m
70,71. Sister Midnight,Comedy,6.6, (365),1h 47m
71,72. Hard Truths,Comedy,7.3, (5.1K),1h 37m
72,73. Night of the Zoopocalypse,Comedy,6.2, (505),1h 31m
73,74. The Shallow Tale of a Writer Who Decided to Write About a Serial Killer,Comedy,8.6, (93),1h 42m
74,75. Goodrich,Comedy,6.3, (5.1K),1h 50m
75,76. Rumours,Comedy,5.0, (4.5K),1h 44m
76,77. Brothers,Comedy,5.4, (13K),1h 29m
77,78. Your Monster,Comedy,6.4, (5.7K),1h 43m
78,79. The Mouse Trap,Comedy,2.4, (3.2K),1h 20m
79,80. Superboys of Malegaon,Comedy,8.0, (1.4K),2h 7m
80,81. How to Make Millions Before Grandma Dies,Comedy,8.0, (13K),2h 5m
81,82. Teri Baaton Mein Aisa Uljha Jiya,Comedy,6.2, (54K),2h 21m
82,83. Bloody Axe Wound,Comedy,4.9, (790),1h 23m
83,84. Ghostlight,Comedy,7.6, (5.8K),1h 55m
84,85. Lisa Frankenstein,Comedy,6.1, (28K),1h 41m
85,86. Stree 2,Comedy,6.9, (42K),2h 27m
86,87. Jackpot!,Comedy,5.8, (30K),1h 46m
87,88. Unfrosted,Comedy,5.5, (35K),1h 37m
88,89. Modi: Three Days on the Wing of Madness,Comedy,5.6, (508),1h 50m
89,90. When Autumn Falls,Comedy,6.8, (1.5K),1h 44m
90,91. The 4:30 Movie,Comedy,6.0, (3.7K),1h 27m
91,92. Winner,Comedy,6.5, (2.4K),1h 43m
92,93. Didi,Comedy,7.3, (12K),1h 33m
93,94. The Visitor,Comedy,4.4, (204),1h 41m
94,95. Mother of the Bride,Comedy,4.8, (17K),1h 28m
95,96. Piece by Piece,Comedy,6.9, (5.3K),1h 33m
96,97. Sketch,Comedy,8.4, (47),1h 32m
97,98. The Uninvited,Comedy,5.9, (156),1h 37m
98,99. Four Mothers,Comedy,7.4, (159),1h 29m
99,100. Manamey,Comedy,5.4, (661),2h 35m
100,101. Sex-Positive,Comedy,4.0, (726),1h 25m
101,102. Babes,Comedy,6.3, (6.3K),1h 44m
102,103. Our Little Secret,Comedy,5.7, (23K),1h 41m
103,104. Hitpig,Comedy,5.1, (907),1h 26m
104,105. Dear Santa,Comedy,5.4, (18K),1h 47m
105,106. Thelma the Unicorn,Comedy,5.7, (2.9K),1h 33m
