,Title,Genre,Rating,Voting,Duration
0,1. Trap,Crime,5.8, (136K),1h 45m
1,2. Pushpa: The Rule - Part 2,Crime,6.1, (55K),3h 21m
2,3. Longlegs,Crime,6.6, (183K),1h 41m
3,4. Freaky Tales,Crime,7.2, (899),1h 46m
4,5. Juror #2,Crime,7.0, (95K),1h 54m
5,6. The Beekeeper,Crime,6.3, (155K),1h 45m
6,7. Carry-On,Crime,6.5, (163K),1h 59m
7,8. Riff Raff,Crime,5.7, (2.7K),1h 43m
8,9. The Order,Crime,6.8, (40K),1h 56m
9,10. Emilia Pérez,Crime,5.4, (87K),2h 12m
10,11. MaXXXine,Crime,6.3, (69K),1h 43m
11,12. Despicable Me 4,Crime,6.2, (64K),1h 34m
12,13. Wolfs,Crime,6.5, (81K),1h 48m
13,14. The Crow,Crime,4.7, (34K),1h 51m
14,15. Rebel Ridge,Crime,6.8, (87K),2h 11m
15,16. Lucky Baskhar,Crime,8.0, (31K),2h 28m
16,17. Bad Boys: Ride or Die,Crime,6.5, (99K),1h 55m
17,18. Marco,Crime,6.8, (21K),2h 25m
18,19. Love Lies Bleeding,Crime,6.6, (56K),1h 44m
19,20. The Girl with the Needle,Crime,7.5, (13K),2h 3m
20,21. Monkey Man,Crime,6.8, (91K),2h 1m
21,22. The Seed of the Sacred Fig,Crime,7.6, (13K),2h 47m
22,23. Santosh,Crime,7.0, (1.8K),2h 8m
23,24. Toofan,Crime,7.4, (7.6K),2h 25m
24,25. Misericordia,Crime,6.9, (1.9K),1h 44m
25,26. Sleeping Dogs,Crime,6.2, (21K),1h 50m
26,27. Lift,Crime,5.5, (49K),1h 47m
27,28. Beverly Hills Cop: Axel F,Crime,6.4, (81K),1h 58m
28,29. Maharaja,Crime,8.4, (66K),2h 21m
29,30. The Instigators,Crime,6.2, (37K),1h 41m
30,31. Beating Hearts,Crime,7.0, (4.5K),2h 46m
31,32. Twilight of the Warriors: Walled In,Crime,7.0, (9.3K),2h 6m
32,33. Greedy People,Crime,6.2, (11K),1h 52m
33,34. Absolution,Crime,5.2, (7.7K),1h 52m
34,35. Killer Heat,Crime,5.6, (13K),1h 35m
35,36. Long Gone Heroes,Crime,5.2, (1K),1h 41m
36,37. Brothers,Crime,5.4, (13K),1h 29m
37,38. The Unholy Trinity,Crime,7.9, (49),1h 33m
38,39. Force of Nature: The Dry 2,Crime,5.8, (7K),2h
39,40. Trigger Warning,Crime,4.6, (19K),1h 46m
40,41. Armor,Crime,3.6, (3.8K),1h 29m
41,42. The Shadow Strays,Crime,6.5, (9.1K),2h 24m
42,43. The Silent Hour,Crime,6.1, (7.3K),1h 39m
43,44. Duchess,Crime,4.6, (1.3K),1h 54m
