,Title,Genre,Rating,Voting,Duration
0,1. The Substance,Horror,7.3, (292K),2h 21m
1,2. Heretic,Horror,7.0, (132K),1h 51m
2,3. Nosferatu,Horror,7.2, (188K),2h 12m
3,4. The Rule of Jenny Pen,Horror,6.3, (3K),1h 44m
4,5. Y2K,Horror,4.8, (13K),1h 31m
5,6. Trap,Horror,5.8, (136K),1h 45m
6,7. Longlegs,Horror,6.6, (183K),1h 41m
7,8. Presence,Horror,6.1, (20K),1h 24m
8,9. Speak No Evil,Horror,6.8, (96K),1h 50m
9,10. Smile 2,Horror,6.7, (101K),2h 7m
10,11. Alien: Romulus,Horror,7.1, (242K),1h 59m
11,12. MaXXXine,Horror,6.3, (69K),1h 43m
12,13. Oddity,Horror,6.7, (42K),1h 38m
13,14. Beetlejuice Beetlejuice,Horror,6.7, (146K),1h 45m
14,15. Abigail,Horror,6.6, (96K),1h 49m
15,16. Terrifier 3,Horror,6.3, (48K),2h 5m
16,17. Hellboy: The Crooked Man,Horror,4.5, (13K),1h 39m
17,18. A Quiet Place: Day One,Horror,6.3, (148K),1h 39m
18,19. The Crow,Horror,4.7, (34K),1h 51m
19,20. Kinds of Kindness,Horror,6.5, (59K),2h 44m
20,21. Never Let Go,Horror,5.4, (15K),1h 41m
21,22. Immaculate,Horror,5.8, (52K),1h 29m
22,23. Dead Talents Society,Horror,7.0, (1.7K),1h 51m
23,24. The Watched,Horror,5.7, (57K),1h 42m
24,25. Bagman,Horror,4.6, (4.9K),1h 33m
25,26. Nightbitch,Horror,5.6, (19K),1h 39m
26,27. I Saw the TV Glow,Horror,5.8, (35K),1h 40m
27,28. Don't Move,Horror,5.8, (39K),1h 32m
28,29. Cuckoo,Horror,5.7, (26K),1h 42m
29,30. The Shrouds,Horror,6.0, (976),1h 59m
30,31. In a Violent Nature,Horror,5.6, (26K),1h 34m
31,32. Arcadian,Horror,5.5, (23K),1h 32m
32,33. Salem's Lot,Horror,5.6, (33K),1h 54m
