,Title,Genre,Rating,Voting,Duration
0,1. Nosferatu,Mystery,7.2, (188K),2h 12m
1,2. The Rule of Jenny Pen,Mystery,6.3, (3K),1h 44m
2,3. Trap,Mystery,5.8, (136K),1h 45m
3,4. Juror #2,Mystery,7.0, (95K),1h 54m
4,5. Smile 2,Mystery,6.7, (101K),2h 7m
5,6. Blink Twice,Mystery,6.5, (104K),1h 42m
6,7. Paddington in Peru,Mystery,6.7, (19K),1h 46m
7,8. Hellboy: The Crooked Man,Mystery,4.5, (13K),1h 39m
8,9. It's What's Inside,Mystery,6.6, (42K),1h 43m
9,10. The Watched,Mystery,5.7, (57K),1h 42m
10,11. Red One,Mystery,6.3, (139K),2h 3m
11,12. Love Lies Bleeding,Mystery,6.6, (56K),1h 44m
12,13. Caddo Lake,Mystery,6.8, (42K),1h 43m
13,14. Slingshot,Mystery,5.7, (9.3K),1h 48m
14,15. F*** Marry Kill,Mystery,5.3, (2.3K),1h 37m
15,16. Cuckoo,Mystery,5.7, (26K),1h 42m
16,17. Sleeping Dogs,Mystery,6.2, (21K),1h 50m
17,18. The Instigators,Mystery,6.2, (37K),1h 41m
18,19. Absolution,Mystery,5.2, (7.7K),1h 52m
19,20. Die Alone,Mystery,5.7, (2.8K),1h 31m
20,21. Time Cut,Mystery,5.0, (19K),1h 31m
21,22. The Deliverance,Mystery,5.1, (22K),1h 52m
22,23. Exhuma,Mystery,6.9, (23K),2h 14m
23,24. AfrAId,Mystery,5.2, (14K),1h 24m
24,25. Killer Heat,Mystery,5.6, (13K),1h 35m
25,26. Long Gone Heroes,Mystery,5.2, (1K),1h 41m
26,27. The Damned,Mystery,5.7, (3.9K),1h 29m
27,28. Monster Summer,Mystery,5.7, (3.6K),1h 37m
28,29. Force of Nature: The Dry 2,Mystery,5.8, (7K),2h
29,30. Watchmen: Chapter I,Mystery,7.0, (6.4K),1h 23m
30,31. A Sacrifice,Mystery,5.0, (5.2K),1h 34m
31,32. Kishkindha Kaandam,Mystery,8.0, (11K),2h 13m
32,33. Do Patti,Mystery,6.5, (68K),2h 6m
33,34. Watchmen: Chapter II,Mystery,7.0, (2.9K),1h 30m
34,35. Night Swim,Mystery,4.7, (27K),1h 38m
35,36. Boneyard,Mystery,4.1, (5K),1h 36m
36,37. Imaginary,Mystery,4.7, (17K),1h 44m
37,38. Skincare,Mystery,5.7, (4.4K),1h 36m
38,39. Karma,Mystery,8.0, (1.4K),2h 47m
39,40. Sikandar ka Muqaddar,Mystery,6.0, (24K),2h 22m
40,41. The Girl in the Pool,Mystery,4.3, (1.4K),1h 29m
41,42. The Best Christmas Pageant Ever,Mystery,6.8, (6.1K),1h 39m
42,43. Turtles All the Way Down,Mystery,6.6, (6.9K),1h 51m
43,44. Damaged,Mystery,4.7, (7.2K),1h 37m
44,45. Orion and the Dark,Mystery,6.3, (17K),1h 33m
45,46. Reunion,Mystery,5.6, (3.5K),1h 30m
46,47. Blackwater Lane,Mystery,4.6, (1.8K),1h 48m
47,48. Gazer,Mystery,6.1, (113),1h 54m
48,49. Depravity,Mystery,4.3, (973),1h 57m
49,50. The Dead Thing,Mystery,4.8, (892),1h 34m
50,51. Colors of Evil: Red,Mystery,6.4, (8.4K),1h 51m
51,52. Sookshma Darshini,Mystery,7.8, (9.9K),2h 22m
52,53. Thalavan,Mystery,7.2, (4.6K),2h 11m
53,54. Mr. K,Mystery,6.2, (377),1h 34m
54,55. Strictly Confidential,Mystery,2.8, (840),1h 34m
55,56. Golam,Mystery,7.2, (5.6K),2h
56,57. The Price of Money: A Largo Winch Adventure,Mystery,5.0, (1.1K),1h 40m
57,58. Outbreak,Mystery,4.4, (827),1h 28m
58,59. Badland Hunters,Mystery,5.9, (12K),1h 47m
59,60. The Sand Castle,Mystery,4.7, (1.7K),1h 38m
60,61. Bougainvillea,Mystery,6.4, (3.1K),2h 18m
61,62. Pedro Páramo,Mystery,6.3, (2.9K),2h 10m
62,63. Triumph,Mystery,5.5, (250),1h 38m
63,64. Handling the Undead,Mystery,5.4, (4.3K),1h 37m
64,65. The Red,Mystery,4.1, (840),1h 23m
65,66. Anweshippin Kandethum,Mystery,7.4, (10K),2h 22m
66,67. The Soul Eater,Mystery,5.9, (2.5K),1h 48m
67,68. Cinderella's Curse,Mystery,3.3, (1.3K),1h 22m
68,69. Drugstore June,Mystery,5.3, (1.7K),1h 31m
69,70. Dan Da Dan: First Encounter,Mystery,8.2, (2.7K),1h 23m
70,71. Desert Fiends,Mystery,8.3, (420),1h 46m
71,72. The Image of You,Mystery,4.6, (822),1h 30m
72,73. The Tiger's Apprentice,Mystery,5.7, (2.2K),1h 24m
73,74. Cinderella's Revenge,Mystery,3.7, (1.1K),1h 25m
74,75. Cult Killer,Mystery,4.8, (2.8K),1h 45m
75,76. The Ruse,Mystery,8.1, (108),1h 45m
76,77. Compulsion,Mystery,6.3, (12),1h 34m
77,78. Following,Mystery,6.5, (1.3K),1h 42m
78,80. City Hunter,Mystery,6.3, (5.6K),1h 42m
79,81. Revolver,Mystery,5.4, (847),1h 54m
80,82. Mononoke the Movie: The Phantom in the Rain,Mystery,6.8, (1.2K),1h 29m
81,83. Crescent City,Mystery,3.9, (1.3K),1h 43m
82,84. Hidden Face,Mystery,6.1, (518),1h 55m
83,85. Cellphone,Mystery,3.0, (707),1h 28m
84,86. American Star,Mystery,5.5, (2.5K),1h 47m
85,87. Merry Christmas,Mystery,6.9, (30K),2h 24m
86,88. Heresy,Mystery,6.9, (294),1h 1m
87,89. #AMFAD: All My Friends Are Dead,Mystery,4.4, (1.2K),1h 31m
88,90. Murder Mubarak,Mystery,5.8, (51K),2h 20m
89,91. Killer Body Count,Mystery,4.7, (647),1h 49m
90,92. The Lost Daughter,Mystery,5.9, (286),1h 39m
91,93. Inheritance,Mystery,5.1, (3.5K),1h 34m
92,94. Cheat,Mystery,4.1, (193),1h 45m
93,95. The Hangman,Mystery,3.3, (999),1h 32m
94,96. Saint Clare,Mystery,7.6, (88),1h 32m
95,97. Bloodline Killer,Mystery,3.8, (4.4K),1h 45m
96,98. Døde menn går på ski,Mystery,5.4, (227),1h 29m
97,99. Faultline,Mystery,5.7, (89),1h 32m
98,100. Drive Back,Mystery,4.7, (298),1h 34m
99,101. Held Hostage in My House,Mystery,4.7, (126),1h 30m
100,102. Salawahan,Mystery,5.8, (447),1h 56m
101,103. Arcadia,Mystery,6.9, (464),1h 39m
102,104. Séance Games: Metaxu,Mystery,3.3, (180),1h 26m
103,105. Believer,Mystery,4.5, (371),1h 48m
